;fcitx Version 0x03 Table file
KeyCode='abcdefghijklmnopqrstuvwxyz.,;
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
'	去
mm;.	免责
mm;c	面子
mm;k	免罪
mm;j	免遭
mm;;	毛毛躁躁
mbxb	秒表
mbxc	妙笔
mbua	妙法
mbud	妙方
mbif	木讷寡言
mbi.	摩纳哥
mbd,	慕尼黑
mbdg	没那回事
mbdk	描绘
mbdq	描画
mbcg	妙处
mbhc	妙计
mbna	马尼拉
mbnt	妙龄
mbng	蒙娜丽莎
mbnf	妙论
mbnm	木牛流马
mbmd	渺茫
mbmr	描摹
mbm,	描眉
mbmf	某年某月
mbmx	没弄明白
mbmp	某年某月某日
mblg	苗圃
mb'g	妙趣
mbpf	美女如云
mbyb	苗条
mbyd	庙堂
mbyg	描图
mby;	苗头
mbga	秒杀
mbgc	藐视
mbgg	描述
mbg;	妙手
mbkf	瞄准
mbkj	妙招
mbk.	瞄着
mbku	秒针
mbkh	莫逆之交
mbko	秒钟
mbfb	卖男鬻女
mb,u	妙文
mbql	描写
mbqb	渺小
mbqu	没那闲工夫
mbfc	木乃伊
mbfo	妙用
mbfg	妙语
mb;e	妙哉
mb;c	苗子
mb;g	苗族
mrac	默哀
mrx,	漠北
mrxj	墨宝
mrxh	末班
mrxe	膜拜
mrxg	莫不
mrja	摩擦
mrj.	莫测
mrji	磨蹭
mrea	莫大
mrej	磨刀
mree	末代
mrei	摩登
mrec	摸底
mret	没顶
mreb	抹掉
mrep	末端
mreg	默读
mr.p	摩尔
mrua	魔法
mruu	墨粉
mrud	模仿
mruh	模范
mru,	莫非
mriu	摩根
mrin	磨光
mrig	蘑菇
mrik	魔鬼
mrd.	磨合
mrd.	墨盒
mrdp	魔幻
mrdg	模糊
mrd,	抹黑
mrcg	摸出
mrca	抹茶
mrhc	磨叽
mrht	墨镜
mrhb	魔教
mrhl	摩羯
mrhg	磨具
mrtt	模块
mrtr	冒
mrtg	魔窟
mrnc	魔力
mrnc	茉莉
mrnm	磨炼
mrnb	末了
mrnr	没落
mrn'	末流
mrng	末路
mrnk	墨绿
mrmt	莫名
mrmm	磨面
mrmr	默默
mrml	磨灭
mrbc	模拟
mrbh	磨难
mrbm	末年
mrbk	魔女
mrlr	磨破
mrle	摸排
mr'c	默契
mr't	摸清
mr'g	抹去
mrpc	末日
mrph	蓦然
mrpr	莫若
mror	摸索
mroo	默诵
mrok	磨碎
mrof	磨损
mry.	模特
mrym	摩天
mryr	摩托
mry;	摸透
mrga	抹杀
mrgj	末梢
mrgi	陌生
mrgc	模式
mrgg	魔术
mrgk	墨水
mrg;	没收
mrkj	魔爪
mrk.	摸着
mrkd	魔掌
mrkc	墨汁
mrkf	摸准
mrki	魔怔
mrk;	魔咒
mr,	末位
mr,d	魔王
mr,,	末尾
mrqt	模型
mrql	默写
mrqg	默许
mrfa	磨牙
mrfg	墨鱼
mlet	灭顶
mlie	摸爬滚打
mld	冒牌货
mldr	灭火
mlco	灭虫
mlhy	灭绝
mlhc	灭迹
mlhg	满盘皆输
mlt;	灭口
mlmu	灭门
mlyd	孟婆汤
mlgc	蔑视
mlga	灭杀
mlko	灭种
ml,d	灭亡
ml;g	灭族
ml;i	母凭子贵
mleq	名牌大学
m'ah	明枪暗箭
m'xn	牟取暴利
m'jk	摩拳擦掌
m'ef	马其顿
m'ir	没去过
m'ie	明确规定
m'ik	密切关注
m'iq	密切关系
m'dg	妙趣横生
m'n.	没钱了
m'nf	谬论
m'nq	密切联系
m'mf	美其名曰
m'md	忙前忙后
m'mq	眉清目秀
m'pq	满腔热血
m'p'	满腔热情
m'pc	满腔热忱
m'on	谋取私利
m'oq	麻雀虽小
m'o'	麻雀虽小，五脏俱全
m',g	谬误
m',k	目前为止
m',,	明确无误
m'qt	明确性
m'q;	马前小卒
m'qi	密切相关
m'fe	明枪易躲
m';j	煤气灶
m';g	马前卒
mpxd	明人不说暗话
mpxg	明人不做暗事
mpxh	茫然不解
mpxk	盲人把烛
mpx;	骂人不带脏字
mp.p	美人儿
mpif	美如冠玉
mpdd	明日黄花
mpdc	明日黄花蝶也愁
mpdg	蓦然回首
mpcm	美人迟暮
mphc	美人计
mpnc	没人理
mpnj	没人理睬
mpmf	没日没夜
mpmq	盲人摸象
mp'm	盲人骑瞎马
mppo	毛茸茸
mpy	貌若天仙
mpyq	美若天仙
mpyd	面如桃花
mpyo	面如土色
mp,j	茫然无措
mpkk	漠然置之
mpqt	没人性
mpqm	盲人瞎马
moxt	莫桑比克
moet	茅塞顿开
mot	马赛克
mot.	莫斯科
motq	冥思苦想
mo,,	没所谓
mon.	忙死了
monx	穆斯林
mo;h	毛遂自荐
mofo	埋三怨四
mye	弥天大谎
myed	满头大汗
mye;	弥天大罪
myec	命途多舛
myu,	满天飞
myir	没听过
myid	瞒天过海
myig	莫谈国事
myif	迷途羔羊
myie	木头疙瘩
mydo	满堂红
myc.	摩托车
myhm	没听见
myti	埋头苦干
mynf	摩天轮
mynn	门庭冷落
mynm	马蹄莲
mynr	曼陀罗
mymb	没头没脑
my't	没听清
my'c	蒙太奇
mypg	门庭若市
myon	慢条斯理
myyf	慢吞吞
mygr	没听说
mygi	没听说过
myku	迷途知返
mykg	庙堂之上
myqt	满天星
myqe	满天星斗
myq,	冒天下之大不韪
myft	猫头鹰
myfh	漫天要价
myfk	眉头一皱
mgac	母爱
mgah	民事案件
mgx	木板
mgxu	木本
mgxd	木棒
mgxh	模板
mgxb	目标
mgxg	幕布
mgx,	墓碑
mgxq	瞒上不瞒下
mgxf	漫山遍野
mgx'	马善被人骑
mgjj	牧草
mgje	木材
mgj.	目测
mgec	目的
mgeh	牡丹
mgeb	木雕
mgeg	目睹
mgek	名声大振
mged	满身大汗
mg.	没事儿
mg.p	木耳
mgua	木筏
mgug	幕府
mguj	闷声发大财
mgun	名士风流
mgi	没事干
mgih	名胜古迹
mgin	目光
mgig	募股
mgiq	木瓜
mgif	木棍
mgi;	母狗
mgdn	马上回来
mgdc	妙手回春
mgd;	幕后
mgcd	牧场
mgce	木柴
mgci	墨守成规
mgch	亩产
mgcp	木船
mgcy	名师出高徒
mgcf	暮春
mghc	母鸡
mghc	募集
mghp	募捐
mghg	模具
mghn	木匠
mghf	面授机宜
mghd	没事就好
mgt.	木刻
mgtt	妙手空空
mgng	目录
mgnx	睦邻
mgne	玛莎拉蒂
mgnc	牡蛎
mgnb	木料
mgni	麻省理工
mgnf	麻省理工学院
mgma	木马
mgmx	牧民
mgmc	马瘦毛长
mgmh	毛手毛脚
mgmt	慕名
mgb.	木讷
mgbu	名实难副
mgbm	暮年
mgb'	母牛
mgbk	母女
mgre	妙手偶得
mgrg	木偶
mgle	木牌
mglm	木片
mg'x	母亲
mg'b	木桥
mg''	暮秋
mg'y	马失前蹄
mg'g	牧区
mg'q	瞒上欺下
mgpu	陌生人
mgpm	仫
mgph	木然
mgpo	慕容
mgpg	母乳
mgpq	妙手仁心
mgo.	暮色
mgoo	目送
mgy;	木头
mgyc	母体
mgyh	木炭
mgyt	卖身投靠
mgyo	木桶
mgyn	没事偷着乐
mggc	牧师
mggk	马首是瞻
mgkc	拇指
mgkn	木桩
mgkg	母猪
mgkg	没事找事
mg,g	木屋
mg,i	面上无光
mgqb	母校
mgqc	母系
mgqt	木星
mgqn	木箱
mgql	木屑
mgqp	目眩
mgqy	墓穴
mgqq	木匣
mgfd	模样
mgf.	木业
mgft	母婴
mgfp	墓园
mgfg	沐浴
mg;c	母子
mg;m	𧿹
mg;d	墓葬
mg;p	谋事在人
mg;y	谋事在人，成事在天
mg;,	名声在外
mgnq	麻省理工大学
mkay	明珠暗投
mkae	明争暗斗
mk.p	没准儿
mkx	门诊部
mkxg	明哲保身
mkxk	明知不可为而为之
mkx;	美中不足
mke	没找到
mkej	明知道
mked	民主党
mkel	民主党派
mkeq	明正典刑
mke;	明智的选择
mki,	明知故问
mkiu	明知故犯
mkdq	民主化
mkdg	没这回事
mkhg	民政局
mknk	命中率
mknq	昧着良心
mkm.	没这么
mkmb	忙这忙那
mkng	猫捉老鼠
mkmi	民脂民膏
mkmt	墓志铭
mk'p	梦中情人
mkof	满招损，谦受益
mkyq	名震天下
mkg	摸着石头过河
mkgd	明知山有虎
mkgq	明知山有虎，偏向虎山行
mkkc	民主制
mkke	命中注定
mkkh	明智之举
mk,d	没指望
mk,i	墨汁未干
mk,p	目中无人
mkqc	毛主席
mkfg	名正言顺
mkfc	没注意
m,xe	美白
m,x'	面无表情
m,xh	漫无边际
m,xt	没病
m,xn	冥顽不灵
m,xm	没变
m,jc	每次
m,jr	没错
m,ej	每到
m,ee	没带
m,e.	美德
m,ed	每当
m,eo	没动
m,eg	梅毒
m,em	没电
m,u	美发
m,ua	没法
m,uu	每份
m,ui	每逢
m,ug	妹夫
m,i.	每个
m,ih	美感
m,ir	美国
m,ip	美观
m,io	美工
m,ig	每股
m,ik	玫瑰
m,i,	没给
m,ie	明文规定
m,dj	美好
m,dd	每行
m,dr	魅惑
m,dg	每户
m,dk	每回
m,dq	梅花
m,dq	美化
m,dh	门外汉
m,cj	美钞
m,ce	美差
m,ci	美称
m,cc	没吃
m,c;	美丑
m,hx	没劲
m,hc	美籍
m,ht	美景
m,hm	每件
m,hl	媒介
m,h'	美酒
m,hg	枚举
m,hg	美剧
m,hq	每家
m,hf	美味佳肴
m,to	没空
m,th	没看
m,tn	煤矿
m,nc	魅力
m,ne	没来
m,n.	没了
m,nh	霉烂
m,nm	没脸
m,ng	煤炉
m,mj	眉毛
m,me	漫无目的
m,mu	没门
m,mi	美梦
m,mh	美满
m,mt	美名
m,mn	没完没了
m,mb	美妙
m,mg	眉目
m,m,	妹妹
m,bi	没能
m,bm	每年
m,bk	美女
m,lm	每篇
m,lr	媒婆
m,lg	没谱
m,'	每期
m,'c	煤气
m,'m	没钱
m,'b	勉为其难
m,''	煤球
m,'p	没权
m,'g	没去
m,pu	美人
m,pc	每日
m,ph	美髯
m,po	美容
m,pg	美乳
m,po	面无人色
m,pf	渺无人烟
m,o.	美色
m,oc	没死
m,og	媚俗
m,y	没问题
m,yn	没问题了
m,yc	媒体
m,yh	煤炭
m,yt	没听
m,yb	每条
m,yg	美图
m,yk	美腿
m,yq	茫无头绪
m,y;	眉头
m,g	美食
m,ga	没啥
m,gj	眉梢
m,gi	美声
m,gc	没事
m,gh	眉山
m,gr	没说
m,gg	美术
m,gk	没睡
m,ka	煤渣
m,k.	没辙
m,kc	每只
m,ko	每种
m,kf	没准
m,k;	每周
m,k;	美洲
m,,e	媚外
m,,h	每晚
m,,,	美味
m,,u	目无王法
m,qc	没戏
m,qx	眉心
m,qb	媚笑
m,q'	没羞
m,qy	美学
m,qo	面无血色
m,fj	没要
m,f.	每页
m,fd	每样
m,fc	美意
m,fh	美艳
m,fp	美元
m,fo	没用
m,fy	每月
m,fg	梅雨
m,fq	渺无音信
m,;c	妹子
m,;k	目无尊长
mqej	没想到
mqi.	墨西哥
mqic	墨西哥城
mqdq	满心欢喜
mqck	梦想成真
mqti	铭心刻骨
mqmu	没心没肺
mqm;	没羞没躁
mqlm	明信片
mq'g	没兴趣
mq't	没心情
mqpu	某些人
mqgc	每小时
mqgd	面向社会
mqkd	明细账
mqke	明修栈道
mq,q	名下无虚
mq,n	面向未来
mqqi	毛细血管
mqqx	密西西比
mqf;	莫须有
mqfn	木秀于林
mqfk	木秀于林，风必摧之
mqfq	命悬一线
mq;c	慢性子
mq;,	扪心自问
mfmr	摸一摸
mfmp	某月某日
mfmj	没有免费的午餐
mfxg	每一步
mfx,	没有把握
mfxf	没有必要
mfxu	没有办法
mfx'	没有不透风的墙
mfxq	没有不散的筵席
mfxd	贸易保护
mfxn	贸易壁垒
mfxe	绵延不断
mfjc	每一次
mfjo	面有菜色
mfem	慢一点
mfec	命运多舛
mfep	每一段
mfed	没有的话
mfuu	每一份
mfum	某一方面
mfuy	民怨沸腾
mfi.	每一个
mfio	磨洋工
mfip	每一个人
mfif	没有规矩不成方圆
mfi;	每一个字
mfd.	眯一会儿
mfcd	梦一场
mfca	母夜叉
mfco	满园春色
mfck	木已成舟
mfhm	没意见
mfhd	每一句话
mfhh	名言警句
mfh'	鸣冤叫屈
mft.	每一刻
mfn.	没有了
mfnf	没有理由
mfng	沐浴露
mfnc	免疫力
mfnk	妙语连珠
mfbm	每一年
mfbo	面有难色
mfbc	贸易逆差
mfle	慢一拍
mflc	卖淫嫖娼
mf'p	牧羊犬
mf'n	谬以千里
mf'f	民营企业
mf'u	明月清风
mfp	没有人
mfpu	明眼人
mfpk	妙语如珠
mfpo	媚眼如丝
mfoc	没意思
mfoe	名誉扫地
mfod	名扬四海
mfof	买一送一
mfym	每一天
mfyq	名扬天下
mfgd	名义上
mfgq	麻衣神相
mfgy	民以食为天
mfgc	贸易顺差
mfko	每一种
mf,,	每一位
mf,y	没有问题
mf,n	贸易往来
mfqn	每一项
mff;	慢悠悠
mfff	没有意义
mf;r	牡羊座
m;xg	某部
m;jc	某次
m;eo	毛泽东
m;ec	某地
m;.i	满载而归
m;uh	谋反
m;ih	满足感
m;im	某
m;i.	某个
m;in	蒙在鼓里
m;dq	谋划
m;de	谋害
m;cg	某处
m;hm	某件
m;hu	灭自己威风
m;hq	某家
m;n.	满足了
m;nc	牟利
m;ny	谋略
m;m.	没怎么
m;mm	谋面
m;m;	某某
m;m,	没滋没味
m;bm	某年
m;bh	某男
m;bk	某女
m;lc	满嘴跑火车
m;''	谋求
m;'g	牟取
m;pu	某人
m;pc	某日
m;oc	谋私
m;ym	某天
m;ga	谋杀
m;gi	谋生
m;gc	谋士
m;ko	某种
m;ki	弥足珍贵
m;kc	谋职
m;,,	某位
m;ql	某些
m;fy	某月
m;fg	名噪一时
m;;	美滋滋
m;;c	眸子
mhjt	𬜬
mhe,	𬇕
mro	𬙊
mroy	𬙊
mghm	𬭁
mm	慢慢
my	每天
m'	面前
n	了
na	拉
nat	啦
nan	辣
nar	腊
nac	蜡
nag	剌
naj	落
nay	垃
na;	邋
narh	旯
natn	啦
najt	落
nang	辣
narr	腊
nacr	蜡
nage	剌
nayn	垃
na;k	邋
nat	喇
nx	林
nx,	琳
nxn	临
nxi	麟
nxf	霖
nxe	淋
nxp	邻
nxu	拎
nxg	磷
nxa	鳞
nxeq	凛
nxj	蔺
nx,t	吝
nxm	粼
nx.	嶙
nxmq	檩
nxpp	赁
nxiq	廪
nxt	啉
nxc	辚
nx;n	遴
nx;	躏
nx,m	琳
nxna	临
nxin	麟
nxfm	霖
nxem	淋
nxp.	邻
nxuo	拎
nxgn	磷
nxan	鳞
nxju	蔺
nxmk	粼
nx.n	嶙
nxtm	啉
nx;u	躏
nj	老
nju	捞
njj	劳
njp	佬
njx	牢
njo	络
njt	唠
njd	烙
njxn	痨
njb	姥
nje	涝
njjt	落
njf	酪
njeq	潦
njfl	醪
nj.	崂
njnx	老
njun	捞
njjn	劳
njpx	佬
njot	络
njtn	唠
njdt	烙
njbx	姥
njen	涝
nj.n	崂
ne	来
neg	赖
nej	莱
nee	濑
nex	癞
ner	睐
nek	籁
nec	徕
neen	涞
ne.	崃
nea	来
neab	来
negp	赖
nejn	莱
neep	濑
nexp	癞
nern	睐
nekp	籁
necn	徕
ne.n	崃
n.	乐
n.kn	了
n.i	勒
n.tn	叻
n.r	肋
n.l	乐
n.le	乐
n.in	勒
n.rn	肋
ni	冷
niq	愣
nim,	棱
niqu	愣
nd	浪
nd'	狼
nden	浪
nde	郎
nder	朗
ndi	廊
nd,	琅
ndt	啷
ndc	螂
ndm	榔
ndj	莨
ndh	锒
ndmn	阆
ndjn	蒗
nd'n	狼
nde.	郎
ndi.	廊
nd,n	琅
ndt.	啷
ndc.	螂
ndm.	榔
ndhn	锒
nc	里
ncm	李
nc,	离
nck	力
ncd	利
nc,a	立
ncp	例
nc,n	理
nct	哩
nca	丽
ncdg	黎
ncl	礼
ncj	莉
ncc	历
ncmn	粒
ncdm	梨
ncc,	厉
ncq	栗
nca	吏
nccn	励
ncpe	俐
ncdb	犁
nckn	笠
nc'	狸
nch	锂
ncke	篱
ncan	鲤
nce	漓
ncen	沥
ncpn	俪
nckb	隶
ncn	郦
nco	罹
ncg,	砺
ncg	砾
ncd'	戾
ncjg	藜
ncea	澧
ncx	痢
ncf	雳
nctn	喱
ncfa	醴
ncjn	莅
nct'	唳
ncx,	疠
ncem	溧
ncb	娌
ncpm	傈
nc'e	猁
nc;	逦
ncdd	黧
ncce	蜊
ncm;	李
nckl	力
ncae	丽
nclk	礼
nc'n	狸
ncou	罹
ncfn	雳
ncbn	娌
ncc	厘
nc,	璃
ncj	荔
ncm	骊
nck	蠡
ncc,	蛎
ncmn	栎
ncp	俚
ncn	鹂
nhj	蓝
nhx	兰
nhd	烂
nhq	懒
nh.	岚
nhu	拦
nhm	栏
nheh	澜
nhu.	揽
nhe	滥
nhk	篮
nhn	览
nhmh	阑
nho	缆
nhm.	榄
nh,	斓
nhmb	婪
nhf	谰
nht	啉
nhl	褴
nhoi	罱
nhjm	蓝
nhxo	兰
nhdo	烂
nhqp	懒
nh.q	岚
nhuo	拦
nhmo	栏
nhem	滥
nhkm	篮
nh,h	斓
nhfh	谰
nhtm	啉
nt	另
ntp	令
nt.d	灵
nte	凌
ntf	零
ntpp	领
nt.	岭
nt,	玲
nth	铃
nt.,	陵
ntpq	翎
ntj	菱
ntk	龄
ntpo	伶
ntm	棱
nto	绫
ntjo	苓
nt.o	聆
ntmd	棂
ntc	蛉
ntf.	酃
ntp,	瓴
ntt	呤
ntt	囹
nttn	另
nte,	凌
nt,o	玲
ntho	铃
ntj,	菱
ntm,	棱
nto,	绫
ntco	蛉
ntf	羚
nte	泠
nn	两
nnr	量
nne	梁
nn,	亮
nnc	辆
nnei	良
nneq	凉
nnu	靓
nnp	俩
nnm	粮
nnrq	晾
nnf	谅
nnmq	椋
nnj	莨
nn;	踉
nna	两
nnen	量
nnae	两
nnrn	量
nncn	辆
nnu.	靓
nnmn	粮
nnjn	𬜯
nn;n	踉
nne	粱
nm	连
nmr	脸
nmo	练
nm.	联
nmj	莲
nm,	恋
nmh	链
nmd	炼
nmq	怜
nmi	廉
nmx	帘
nmp	敛
nm,;	琏
nmeb	濂
nmhb	镰
nme,	潋
nmm	楝
nma	鲢
nmra	脸
nm.y	联
nmj;	莲
nm,q	恋
nmh;	链
nmde	炼
nmqo	怜
nmib	廉
nmp,	敛
nme;	涟
nmmh	楝
nma;	鲢
nme	殓
nb	料
nb.	聊
nbm	料
nbk	了
nbi	廖
nb;	辽
nbx	疗
nbu	撩
nbut	撂
nbxq	寮
nbd	燎
nbp	僚
nbxl	寥
nbe	潦
nbj	蓼
nbt	嘹
nbo	缭
nb'	獠
nbh	镣
nbhn	钌
nbr	瞭
nbkn	了
nb..	聊
nbmg	料
nbil	髎
nb;n	辽
nbuq	撩
nbdq	燎
nbpq	僚
nbjl	蓼
nbtq	嘹
nboq	缭
nb'q	獠
nbhq	镣
nbrq	瞭
nr	落
nro	罗
nrt	咯
nre	洛
nrl	裸
nrmt	骆
nrot	络
nrj	萝
nrc	螺
nrd	烙
nr,t	珞
nruj	捋
nru	摞
nrk	箩
nrh	锣
nr;	逻
nrm	骡
nr,	雒
nrg	硌
nrmq	椤
nrjb	荦
nreq	漯
nrtq	啰
nrjt	落
nroq	罗
nrtt	咯
nrli	裸
nrjq	萝
nrcq	螺
nrdt	烙
nruq	摞
nrkq	箩
nrhq	锣
nr;q	逻
nrgt	硌
nl	列
nlt	咧
nled	烈
nle	裂
nl'	猎
nlg	劣
nlee	冽
nla	鬣
nly	趔
nlef	裂
nl'r	猎
nlgn	劣
nlye	趔
nlee	洌
n'	刘
n',	六
n'l	留
n'e	流
n'm	柳
n'ey	溜
n'x	瘤
n'g	硫
n';	遛
n',k	琉
n'my	榴
n'.	陆
n'ee	浏
n'eh	鎏
n'o	绺
n'h	镏
n'gy	馏
n',e	刘
n',x	六
n'ly	留
n'.h	陆
n'm.	柳
n'xy	瘤
n';y	遛
n'ot	绺
n'm	骝
np	乱
npl	卵
np,	鸾
np,m	栾
np,.	峦
np,;	孪
np,h	銮
npe	滦
np,g	挛
np'	乱
np'k	乱
nple	卵
npem	滦
no	龙
no.	隆
no,	弄
nok	笼
nou	拢
non	聋
no,n	珑
no.n	陇
nor	胧
nony	垄
nox	窿
not	咙
nong	砻
nog	龙
no,j	弄
no.g	隆
nokn	笼
noun	拢
notn	咙
nyy	略
nyu	掠
nyyt	略
nyuq	掠
ng	路
ngf	露
nga	鲁
ng.	录
ng.g	录
ngk	箓
ngn	卢
ngi	鹿
ngl	禄
ngd	炉
ng,	璐
ngnq	卤
ngj	芦
ngmx	麓
ngun	掳
ngid	庐
ng;	鹭
ngtr	噜
ngdn	虏
ngu	撸
ngo	绿
ngg	碌
nge	泸
ngm	橹
ngnp	颅
nget	潞
ngq	勠
ngex	漉
ng;g	逯
ngjl	蓼
ngeg	渌
ngt	赂
ngag	鲈
ng,x	六
ngcx	辘
ngnb	鸬
ngc	轳
ng;t	路
ng.h	陆
ngar	鲁
ngix	鹿
nglg	禄
ngdd	炉
ng,t	璐
ng;b	鹭
ngur	撸
ngqi	戮
nk	率
nko	绿
nkt	吕
nkm	驴
nku	旅
nkc	律
nkh	铝
nkg	屡
nke	滤
nkg,	履
nkd	虑
nk'	氯
nkob	缕
nkuj	捋
nkp	侣
nkpb	偻
nkl	褛
nkmt	榈
nk,	率
nk,g	率
nkog	绿
nktt	吕
nkmd	驴
nkub	旅
nkcf	律
nkgb	屡
nkeq	滤
nk'g	氯
nkpt	侣
nklb	褛
nkmt	闾
n,	类
n,f	雷
n,e	泪
n,y	累
n,j	蕾
n,g	磊
n,o	垒
n,r	肋
n,i	勒
n,u	擂
n,h	镭
n,,	羸
n,a	耒
n,ub	耒
n,p	儡
n,eq	漯
n,me	类
n,fy	雷
n,er	泪
n,yq	累
n,gg	磊
n,oy	垒
n,rn	肋
n,uy	擂
n,hy	镭
n,,u	羸
n,ab	耒
n,py	儡
nqp	俩
nqpn	俩
nf	论
nfc	轮
nfp	伦
nfo	纶
nfu	抡
nfpx	仑
nfe	沦
nft	囵
nffx	论
nfcx	轮
nfox	纶
nfux	抡
nfex	沦
nftx	囵
n;	楼
n;t	喽
n;e	漏
n;f	露
n;u	搂
n;m	娄
n;.	陋
n;k	篓
n;x	瘘
n;h	镂
n;p	偻
n;i	髅
n;c	蝼
n;n	耧
n;mb	楼
n;tb	喽
n;ft	露
n;ub	搂
n;.k	陋
n;kb	篓
n;xb	瘘
n;hb	镂
n;ib	髅
n;cb	蝼
n;nb	耧
nagn	砬
nxrn	膦
ncgn	砬
nc;n	跞
ntko	舲
nnpn	俍
nlak	𫚭
n'hy	飗
np,b	娈
noxg	癃
norn	眬
noge	尨
ngmr	氇
ngmg	栌
n,fj	酹
n,jy	藟
nax	瘌
naxe	瘌
nah	镴
nahk	镴
nai	鞡
nain	鞡
nace	蝲
nx,n	璘
nxr	瞵
nxqq	懔
nxen	潾
njh	铑
njhx	铑
njn	耢
njnn	耢
njm	栳
njmx	栳
njhn	铹
njbl	嫪
njjx	荖
nepn	俫
nem	梾
nemn	梾
n.a	鳓
n.an	鳓
n.e	泐
n.en	泐
n.t	嘞
n.p	仂
n.pn	仂
n.g	饹
n.gt	饹
n.k	簕
niy	塄
niyu	塄
ni.	崚
ni.,	崚
nim	楞
niy,	堎
ndd	烺
nddn	稂
nd.	崀
nd.n	崀
ndr	㫰
ndrn	㫰
ndjr	蓢
ndey	塱
ndem	㮾
ncaa	鳢
ncxn	疬
ncm,	粝
ncoe	缡
ncot	詈
nckm	篥
nc,b	嫠
ncy	坜
ncyn	坜
ncff	叕
nc.	峛
nc.e	峛
ncfe	醨
ncmg	㰀
ncna	里
nhh	镧
nhhh	镧
nhr	暕
nhrh	暕
nhlh	襕
nta	鲮
nta,	鲮
ntl	祾
ntl,	祾
ntmo	柃
ntpb	鸰
nty	坽
ntb	姈
ntbo	姈
ntro	昤
ntq,	㥄
nni	魉
nny	墚
nnq	悢
nncq	辌
nmeq	奁
nmc	蠊
nmcb	蠊
nmm;	梿
nml	裢
nml;	裢
nmj,	蔹
nmla	裣
nmja	莶
nm,h	瑓
nba	鹩
nbab	鹩
nbeb	鹩
nbg	尥
nbgg	尥
nbf	尥
nbfg	尥
nb;q	蹽
nbel	漻
nbq	憭
nbmq	橑
nbkq	簝
nrx	瘰
nrxq	瘰
nren	泺
nr'	猡
nr'q	猡
nr;n	跞
nrr	脶
nrrb	脶
nrp	倮
nrpi	倮
nrji	蓏
nlu	捩
nlu'	捩
nlyj	埒
nl;	躐
nleb	䴕
nlr	脟
nlrj	脟
n'u	旒
n'uk	旒
n'd	熘
n'dy	熘
n'hl	镠
n'hk	锍
n'q	鹨
n',.	珋
n'el	漻
n'oy	罶
n'lb	鹠
n'ef	瑬
np,p	脔
nom	栊
nomn	栊
notj	哢
nyug	䂮
nyt	圙
nytm	圙
ngct	辂
ngr	胪
ngrg	胪
ngy	垆
ngh	镥
nghr	镥
nglf	甪
ngjg	菉
ng,g	琭
ngdy	稑
ngpl	僇
nger	澛
ngjt	蕗
nkur	膂
nkdt	稆
nkr	𦝼
nkrb	𦝼
n,t	嘞
n,b	嫘
n,bq	嫘
n,oq	缧
n,fn	诔
n,m	檑
n,my	檑
n,gy	礌
n,yu	罍
n;j	蒌
n;jb	蒌
n;.b	嵝
n;r	䁖
n;rb	䁖
n;a	剅
n;ae	剅
nq	联系
ny	论坛
nh	了解
nu	浪费
naxa	喇叭
naxc	蜡笔
naej	拉倒
naet	拉丁
naeo	拉动
naui	拉风
naun	拉
naij	拉高
naih	拉杆
nadk	拉回
nadj	柳暗花明又一村
nadn	蜡黄
nadm	柳暗花明
nadp	拉环
nad,	拉黑
nac.	拉扯
nacd	拉长
nacg	拉出
nahx	拉近
nahc	垃圾
nahb	辣椒
nahg	拉锯
nahq	拉架
nate	拉开
nat.	拉客
nana	啦啦
nanc	拉力
nanm	拉链
nano	拉拢
nama	喇嘛
namm	拉面
nam,	辣妹
nalb	拉票
nalt	拉平
na'c	拉起
nap;	腊肉
naoa	拉萨
naoc	拉丝
naor	拉锁
naya	邋遢
naye	拉抬
nagu	拉伸
nagi	拉升
nagc	拉屎
nag;	拉手
nak.	拉着
naka	拉闸
nakc	拉直
nakg	蜡烛
na,,	辣味
na,h	蜡丸
na,d	拉网
naqq	落下
naqc	拉稀
naqn	蜡像
nafy	腊月
na;a	拉杂
na;c	辣子
nxx	冷冰冰
nxxa	淋巴
nxxj	拎包
nxxd	邻邦
nxxt	狼狈不堪
nxxx	两鬓斑白
nxxl	临别
nxjq	力不从心
nxjq	聊表寸心
nxe	轮不到
nxej	临到
nxe.	了不得
nxec	林地
nxen	连本带利
nxeh	联邦调查局
nx.p	老伴儿
nxud	冷不防
nxu,	磷肥
nxir	邻国
nxdd	老本行
nxcd	林场
nxch	临产
nxcn	临床
nxhc	来不及
nxhm	零部件
nxhx	临近
nxhl	临界
nxhl	拉帮结派
nxhd	拉帮结伙
nxhn	来不及了
nxhb	兰博基尼
nxhg	邻居
nxhg	两败俱伤
nxhq	邻家
nxtj	临考
nxto	临空
nxte	离不开
nxtu	礼不可废
nxtn	磷矿
nxtl	牢不可破
nxtk	乐不可支
nxne	来不来
nxn,	累不累
nxni	冷不冷
nxnd	琳琅
nxnc	林立
nxnl	凛冽
nxnf	利比里亚
nxnk	屡败屡战
nxmu	临门
nxmr	临摹
nxmg	林木
nxmm	厉兵秣马
nxbn	老板娘
nxbh	力不能及
nxbu	黎巴嫩
nxlm	鳞片
nxlu	临盆
nx'c	了不起
nx't	理不清
